Topic,Definition
BUILDERS RISK INSURANCE,Insurance against loss to buildings or structures in the course of construction.
BUILDINGS AND PERSONAL PROPERTY COVERAGE FORM,"A commercial property coverage form designed to insure most types of commercial property (buildings or contents or both). It is the most frequently used commercial property form, and has replaced the General Property Form, Special Building Form, Special Personal Property Form, and others."
BUSINESS AUTO COVERAGE FORM,"The latest commercial Automobile Insurance coverage form, which may be written as a monoline policy or as part of a commercial package. This form has largely replaced the Business Auto Policy."
BUSINESS INCOME COVERAGE FORM,"A commercial property form providing coverage for ""indirect losses"" resulting from property damage, such as loss of business income and extra expenses incurred. It has replaced earlier Business Interruption and Extra Expense forms."
BUSINESS INTERRUPTION INSURANCE,A type of policy that pays for loss of earnings when operations are curtailed or suspended because of property loss.
BUSINESS LIABILITY,"The term used to describe the liability coverages provided by the Businessowners Liability Coverage Form. It includes liability for bodily injury, property damage, personal injury, advertising injury, and fire damage."
BUSINESS PERSONAL PROPERTY,"Traditionally known as ""contents,"" this term actually refers to furniture, fixtures, equipment, machinery, merchandise, materials, and all other personal property owned by the insured and used in the insureds business."
C & F,A sale term relating to goods. Cost and Freight. The consignee makes his own insurance arrangements for the goods throughout the period of transit.
CANCELABLE POLICY,A policy which may be terminated by the company or the insured by proper notification sent to the other party according to terms set forth in the policy.
CARRIER,"(1) An insurance company which ""carries"" the insurance. (The terms ""insurance company"" or ""insurer"" are preferred because of the possible confusion of ""carrier"" with transportation terminology). (2) In transportation, the trucker, air carrier, ocean steamship company or other entity which moves the goods. (See ""Contract Carrier)"
CASH SURRENDER VALUE,Money the policyholder is entitled to receive from the insurance company upon surrendering a life insurance policy containing a cash value clause.
CASUALTY INSURANCE,"That type of insurance that is primarily concerned with losses caused by injuries to persons and legal liability imposed for such injury or for damage to property of others. It also includes such diverse forms as Plate Glass, insurance against crime, such as robbery, burglary or forgery, Boiler and Machinery insurance, and Aviation insurance. Many casualty companies also write surety business."
CAUSES OF LOSS,"Under the latest commercial property forms, this term replaces the earlier term ""perils"" insured against."
CLAIM,(1) A formal request for payment of a loss under an insurance contract or bond; (2) The actual amount of the final settlement.
CLAIMANT,One who seeks reimbursement for loss under the terms and conditions of the insurance contract.
CLAIMS-MADE COVERAGE,"A policy providing liability coverage only if a written claim is made during the policy period or any applicable extended reporting period. For example, a claim made in the current reporting year could be charged against the current policy even if the injury or loss occurred many years in the past. If the policy has a retroactive date, an occurrence prior to that date is not covered. (Contrast this with ""Occurrence Coverage)"
CLASSIFICATION CLAUSE (CARGO),"A clause in a cargo insurance open cover which details the minimum classification for an overseas carrying vessel that is acceptable to the insurers for carriage of the insured goods at the premium rate/s agreed in the contract. Goods carried by lower class vessels are accepted under the open cover, subject to payment of an additional premium."
CLAUSE,"A section or paragraph in an insurance policy that explains, defines or clarifies the conditions of coverage."
COBRA (CONSOLIDATED OMNIBUS BUDGET RECONCILIATION  ACT),"A federal law under which group health plans sponsored by employers with 20 or more employees must offer continuation of coverage to employees who leave their jobs, voluntarily or otherwise, and their dependents; gives individuals and their dependent families the right to continue their health care coverage for as long as 18 months."
COINSURANCE,"(1) In property insurance, a clause under which the insured shares in losses to the extent that he is underinsured at the time of loss. (2) In health insurance, a provision that the insured and insurance company will shared covered losses in agreed proportion. In health insurance, the preferred term is ""percentage participation."""
COLLISION COVERAGE,Physical damage protection for the insureds own automobile(s) for damage resulting from a collision with another object or upset.
COMMERCIAL GENERAL LIABILITY (CGL) COVERAGE PART,"General liability coverage which may be written as a monoline policy or part of a commercial package. ""CGL"" now means commercial general liability forms which have replaced the earlier ""comprehensive"" general liability forms. The latest forms include all sublines, provide very broad coverage, and two variations are available, ""Occurrence,"" and ""Claims Made,"" coverage."
COMPREHENSIVE COVERAGE,"Traditional name for physical damage coverage for losses by fire, theft, vandalism, falling objects and various other perils. On Personal Auto Policies this is now called ""other than collision"" coverage. On commercial forms, it continues to be called ""comprehensive coverage."""
COMPREHENSIVE GENERAL LIABILITY POLICY,"A policy covering a variety of general liability exposures, including Premises and Operations (OL&T or M&C), Completed Operations, Products Liability, and Owners and Contractors Protective. Contractual Liability and Broad Form coverages could be added. In most jurisdictions the ""Comprehensive General Liability Policy"" has been replaced by the newer ""Commercial General Liability (CGL) forms which include all the standard and optional coverages of the earlier forms."
KNOWN LOSS,A loss known to one or both parties when a broker and Underwriter are negotiating a placing.
LEASE,"Contract whereby the owner or user of property (the lessor) agrees to let another party, (the lessee) use the property for a consideration (money or rent)."
LEASEHOLD INSURANCE,Insurance for the tenant of a property leased against the loss of value of the lease or of profit from a sub-lease through termination of the lease by fire or other peril insured against.
LESSEE (LEASEE),The party to whom a lease is granted.
LESSOR,The party who grants a lease to the lessee.
LIABILITY,"Broadly, any legally enforceable obligation; a responsibility of one person to another, enforceable in law."
LIABILITY INSURANCE,"That insurance that pays and renders service on behalf of an insured for loss arising out of his responsibility, due to negligence, to others imposed by law or assumed by contract."
LIABILITY LIMITS,The sum or sums beyond which a liability insurance company does not protect the insured on a liability policy.
LIEN,"A word that indicates an encumbrance on property, either for discharge of a duty or the payment of a debt. When a lien exists, the conditions attaching to the issue of an insurance contract require that it be disclosed to the insurance company."
LIFE INSURANCE,"Protection against the death of the Insured in the form of payment to a designated beneficiary, typically a family member or business."
LONG-TERM CARE INSURANCE,A type of insurance policy that covers the cost of long-term custodial care in a nursing facility or at home.
LOCATION CLAUSE,Used in cargo open covers this limits Underwriters liability in any one location.
LOSS OF USE INSURANCE,Insurance against loss due to the inability to use property because of its damage or destruction.
LOSS OF HIRE INSURANCE,"A type of marine insurance designed to pay for continuing expenses and loss of profits to vessel owners while unable to work after a claim. It provides the means to pay loans, insurance premiums, key clerical staff, captain and essential crew, and other expenses. (Similar to ""Business Interruption"" or ""Loss of Income"" policies.)"
LOSS PAYABLE CLAUSE,"Clause in an insurance policy to specifically identify interested parties (the insured, mortgagees, trustees, lienholders, etc.)."
MALICIOUS DAMAGE CLAUSE,"A clause published by the Institute of London Underwriters for use in a cargo policy that is subject to the Institute Cargo Clauses (1982) B or C. It adds the risks of malicious acts, vandalism and sabotage to the cargo policy."
MALPRACTICE INSURANCE,"A professional liability coverage that insures physicians, lawyers and other specialists against suits alleging their negligence."
MANAGED CARE,"A health plan that places limits on which treatments and which doctors, hospitals and other providers a member can use and still receive full coverage. Generally, under managed care an insurer negotiates lower fees with doctors, hospitals, or laboratories who join in a network that members of the plan are encouraged to use. Frequently, members of a managed care plan can use health care providers outside their network, but they must pay a greater share of the fees."
MANUAL RATES,"Usually the published rate for some unit of insurance. An example is the Workers Compensation Manual where the rates shown apply to each $100 of the payroll of the insured, $100 being the unit."
MAR POLICY,A market term for the form of marine policy used by Lloyds and the London company market. It is a basic contract form to which the conditions agreed by the insurers subscribing a marine insurance contract are attached.
MARINE INSURANCE,"Insurance coverage for goods in transit, and for the vehicles that transport them, over waterways, over land, and in air."
MARKET VALUE CLAUSE,"A provision that may be used in property damage insurance form covering some risks which obligates the insurance company, in the event of loss, to pay the established cash selling price of the destroyed or damaged stock, rather than the actual case value as provided in the Standard Fire Policy."
MATERIAL FACT,Anything affecting an insurance contract significant enough to change the agreement between the insurance company and the policyholder.
MEDICAID,"A federal/state program that helps pay for health care for the needy, blind or disabled and for low-income families with children."
MEDICARE,"A federal health care program for people age 65 and over, and for the disabled."
MEDIGAP,Insurance coverage sold by private insurers to supplement federal insurance benefits and expenses not covered under the federal Medicare program.
MINIMUM PREMIUM,The smallest premium which an insurance company will accept for writing a particular policy or bond for a designated period.
MISREPRESENTATION,"An incorrect statement made about a material fact that, if made deliberately and with intent to deceive, could cause the insurance contract to become null and void."
MITIGATE,To make less severe; steps to eliminate further damage after a loss occurs.
MORTGAGE INSURANCE,Life insurance that pays the balance of a mortgage if the mortgagor (insured) dies.
MORTGAGEE,The person who has loaned his money to another and taken the security of the property in exchange.
ADJUSTED GROSS INCOME (AGI),An interim calculation in the computation of income tax liability. It is computed by subtracting certain allowable adjustments from gross income.
ADMINISTRATOR,A person appointed by the court to settle an estate when there is no will.
AFTER-TAX RETURN,The return from an investment after the effects of taxes have been taken into account.
AGGRESSIVE GROWTH FUND,A mutual fund whose primary investment objective is substantial capital gains.
ALTERNATIVE MINIMUM TAX,"A method of calculating income tax that disallows certain deductions, credits, and exclusions. This was intended to ensure that individuals, trusts, and estates that benefit from tax preferences do not escape all federal income tax liability. People must calculate their taxes both ways and pay the greater of the two."
ASSET,Anything owned that has monetary value.
ASSET ALLOCATION,The process of repositioning assets within a portfolio to maximize return for a given level of risk. This process is usually done using the historical performance of the asset classes within sophisticated mathematical models.
ASSET CLASS,A category of investments with similar characteristics.
AUDIT,"The examination of the accounting and financial documents of a firm by an objective professional. The audit is done to determine the records accuracy, consistency, and conformity to legal and accounting principles."
BALANCED MUTUAL FUND,A mutual fund whose objective is a balance of stocks and bonds. Such funds tend to be less volatile than stock-only funds.
BEAR MARKET,"When the stock market appears to be declining overall, it is said to be a bear market."
BLUE CHIP STOCK,The common stock of a company with a long history of profitability and consistent dividend payments.
BOOK VALUE,"The net value of a companys assets, less its liabilities and the liquidation price of its preferred issues. The net asset value divided by the number of shares of common stock outstanding equals the book value per share, which may be higher or lower than the stocks market value."
BULL MARKET,"When the stock market appears to be advancing overall, it is said to be a bull market."
BUY-SELL AGREEMENT,"A buy-sell agreement is an arrangement between two or more parties that obligates one party to buy the business and another party to sell the business upon the death, disability, or retirement of one of the owners."
CAPITAL GAIN OR LOSS,"The difference between the sales price and the purchase price of a capital asset. When that difference is positive, the difference is referred to as a capital gain. When the difference is negative, it is a capital loss."
CASH EQUIVALENTS,"Short-term investments, such as U.S. Treasury securities, certificates of deposit, and money market fund shares, that can be readily converted into cash."
CERTIFIED FINANCIAL PLANNER? PRACTITIONER,"A credential granted by the Certified Financial Planner Board of Standards, Inc. (Denver, CO) to individuals who complete a comprehensive curriculum in financial planning and ethics. CFP?, CERTIFIED FINANCIAL PLANNER? and federally registered CFP (with flame logo)? are certification marks owned by the Certified Financial Planner Board of Standards. These marks are awarded to individuals who successfully complete the CFP Boards initial and ongoing certification."
CERTIFIED PUBLIC ACCOUNTANT (CPA),A professional license granted by a state board of accountancy to an individual who has passed the Uniform CPA Examination (administered by the American Institute of Certified Public Accountants) and has fulfilled that states educational and professional experience requirements for certification.
CHARITABLE LEAD TRUST,"A trust established for the benefit of a charitable organization under which the charitable organization receives income from an asset for a set number of years or for the trustors lifetime. Upon the termination of the trust, the asset reverts to the trustor or to his or her designated heirs. This type of trust can reduce estate taxes and allows the trustors heirs to retain control of the assets."
CHARITABLE REMAINDER TRUST,"A trust established for the benefit of a charitable organization under which the trustor receives income from an asset for a set number of years or for the trustors lifetime. Upon the termination of the trust, the asset reverts to the charitable organization. The trustor receives a charitable contribution deduction in the year in which the trust is established, and the assets placed in the trust are exempt from capital gains tax."
CHARTERED FINANCIAL CONSULTANT (CHFC),"A professional financial planning designation granted by The American College (Bryn Mawr, PA) to individuals who complete a comprehensive curriculum in financial planning. Prerequisites include passing a series of written examinations, meeting specified experience requirements and maintaining ethical standards. The curriculum encompasses wealth accumulation, risk management, income taxation, planning for retirement needs, investments, estate and succession planning."
CHARTERED LIFE UNDERWRITER (CLU),"A professional designation granted by The American College to individuals who complete a comprehensive curriculum focused primarily on risk management. Prerequisites include passing a series of written examinations, meeting specified experience requirements, and maintaining ethical standards. The curriculum encompasses insurance and financial planning, income taxation, individual life insurance, life insurance law, estate and succession planning, and planning for business owners and professionals."
COBRA,The Consolidated Omnibus Budget Reconciliation Act is a federal law requiring employers with more than 20 employees to offer terminated or retired employees the opportunity to continue their health insurance coverage for 18 months at the employees expense. Coverage may be extended to the employees dependents for 36 months in the case of divorce or death of the employee.
COINSURANCE OR CO-PAYMENT,The amount an insured person must pay for a covered medical and/or dental expense if his or her insurance doesnt provide 100 percent coverage.
COMMODITIES,"The generic term for goods such as grains, foodstuffs, livestock, oils, and metals which are traded on national exchanges. These exchanges deal in both spot trading (for current delivery) and futures trading (for delivery in future months)."
COMMON STOCK,A unit of ownership in a corporation. Common stockholders participate in the corporations profits or losses by receiving dividends and by capital gains or losses in the stocks share price.
COMMUNITY PROPERTY,"State laws vary, but generally all property acquired during a marriage - excluding property one spouse receives from a will, inheritance, or gift - is considered community property, and each partner is entitled to one half. This includes debt accumulated. There are currently nine community property states: Arizona, California, Idaho, Louisiana, Nevada, New Mexico, Texas, Washington, and Wisconsin."
COMPOUND INTEREST,"Interest that is computed on the principal and on the accrued interest. Compound interest may be computed continuously, daily, monthly, quarterly, semiannually, or annually."
CONSUMER PRICE INDEX,The U.S. Department of Labors main indicator of inflation. The Consumer Price Index is calculated each month from the cost of some 400 retail items in urban areas throughout the United States.
DEDUCTION,"An amount that can be subtracted from gross income, from a gross estate, or from a gift, thereby lowering the amount on which tax is assessed."
DEFINED BENEFIT PLAN,"A qualified retirement plan under which a retiring employee will receive a guaranteed retirement fund, usually payable in installments. Annual contributions may be made to the plan by the employer at the level needed to fund the benefit. The annual contributions are limited to a specified amount, indexed for inflation."
DEFINED CONTRIBUTION PLAN,"A retirement plan under which the annual contributions made by the employer or employee are generally stated as a fixed percentage of the employees compensation or company profits. The amount of retirement benefits is not guaranteed; rather, it depends upon the investment performance of the employees account."
DIVERSIFICATION,"Investing in different companies, industries, or asset classes. Diversification may also mean the participation of a large corporation in a wide range of business activities."
DIVIDEND,"A pro rata portion of earnings distributed in cash by a corporation to its stockholders. In preferred stock, dividends are usually fixed; with common shares, dividends may vary with the fortunes of the company."
DOLLAR COST AVERAGING,"A system of investing in which the investor buys a fixed dollar amount of securities at regular intervals. The investor thus buys more shares when the price is low and fewer shares when it rises, and the average cost per share is lower than the average price per share. This strategy does not protect against loss in declining markets and involves continuous investments, regardless of fluctuating price levels."
EFFICIENT FRONTIER,"A statistical result from the analysis of the risk and return for a given set of assets that indicates the balance of assets that may, under certain assumptions, achieve the best return for a given level of risk."
EMPLOYER-SPONSORED RETIREMENT PLAN,"A tax-favored retirement plan that is sponsored by an employer. Among the more common employer-sponsored retirement plans are 401(k) plans, 403(b) plans, simplified employee pension plans, and profit-sharing plans."
EQUITY,"The value of a persons ownership in real property or securities; the market value of a property or business, less all claims and liens upon it."
ERISA,"The Employee Retirement Income Security Act is a federal law covering all aspects of employee retirement plans. If employers provide plans, they must be adequately funded and provide for vesting, survivors rights, and disclosures."
ESOP (EMPLOYEE STOCK OWNERSHIP PLAN),A defined contribution retirement plan in which company contributions must be invested primarily in qualifying employer securities.
ESTATE CONSERVATION,Activities coordinated to provide for the orderly and cost-effective distribution of an individuals assets at the time of his or her death. Estate conservation often includes wills and trusts.
ESTATE TAX,"Upon the death of a decedent, federal and state governments impose taxes on the value of the estate left to others (with limitations)."
EXECUTIVE BONUS PLAN,"The employer pays for a benefit that is owned by the executive. The bonus could take the form of cash, automobiles, life insurance, or other items of value to the executive."
EXECUTOR,A person named by the probate courts or the will to carry out the directions and requests of the decedent.
FIXED INCOME,"Income from investments such as CDs, Social Security benefits, pension benefits, some annuities, or most bonds that is the same every month."
401(K) PLAN,"A defined contribution plan that may be established by a company for retirement. Employees may allocate a portion of their salaries into this plan, and contributions are excluded from their income for tax purposes (with limitations). Contributions and earnings will compound tax deferred. Withdrawals from a 401(k) plan are taxed as ordinary income, and may be subject to an additional 10 percent federal tax penalty if withdrawn prior to age 59 ?."
403(B) PLAN,"A defined contribution plan that may be established by a nonprofit organization or school for retirement. Employees may allocate a portion of their salaries into this plan, and contributions are excluded from their income for tax purposes (with limitations). Contributions and earnings will compound tax deferred. Withdrawals from a 403(b) plan are taxed as ordinary income, and may be subject to an additional 10 percent federal tax penalty if withdrawn prior to age 59 ?."
FUNDAMENTAL ANALYSIS,"An approach to the stock market in which specific factors - such as the price-to-earnings ratio, yield, or return on equity - are used to determine what stock may be favorable for investment."
GIFT TAXES,"A federal tax levied on the transfer of property as a gift. This tax is paid by the donor. The first $12,000 a year from a donor to each recipient is exempt from tax. Most states also impose a gift tax. The gift tax exemption is indexed annually for inflation."
HOLOGRAPHIC WILL,"A will entirely in the handwriting of the testator. Without witnesses, holographic wills are valid and enforceable only in some states."
INDEX,"A calculation that uses a selection of stocks or bonds to gauge a certain market. The Dow Jones Industrial Average, for example, is an index of 30 large industrial companies on the New York Stock Exchange."
INDIVIDUAL RETIREMENT ACCOUNT (IRA),"Contributions to a traditional IRA are deductible from earned income in the calculation of federal and state income taxes if the taxpayer meets certain requirements. The earnings accumulate tax deferred until withdrawn, and then they are taxed as ordinary income. Individuals not eligible to make deductible contributions may make nondeductible contributions, the earnings on which would be tax deferred."
INFLATION,An increase in the price of products and services over time. The governments main measure of inflation is the Consumer Price Index.
INTESTATE,The condition of an estate left by a decedent without a valid will. State law then determines who inherits the property or serves as guardian for any minor children.
INVESTMENT CATEGORY,"A broad class of assets with similar characteristics. The five investment categories include cash equivalents, fixed principal, equity, debt, and tangibles."
IRREVOCABLE TRUST,A trust that may not be modified or terminated by the trustor after its creation.
JOINT AND SURVIVOR ANNUITY,Most pension plans must offer this form of pension plan payout that pays over the life of the retiree and his or her spouse after the retiree dies. The retiree and his or her spouse must specifically choose not to accept this payment form.
JOINT TENANCY,Co-ownership of property by two or more people in which the survivor(s) automatically assumes ownership of a decedents interest.
JOINTLY HELD PROPERTY,"Property owned by two or more persons under joint tenancy, tenancy in common, or, in some states, community property."
KEOGH PLAN,"This retirement plan, named for Eugene Keogh, is designed for self-employed individuals. Up to $46,000 of self-employed income may be deducted from compensation and set aside into the plan."
LIMITED PARTNERSHIP,"Limited partnerships pool the money of investors to develop or purchase income-producing properties. When the partnership subsequently receives income from these properties, it distributes the income to its investors as dividend payments."
LIQUIDITY,The ease with which an asset or security can be converted into cash without loss of principal.
LIVING TRUST,A trust created by a person during his or her lifetime.
LUMP-SUM DISTRIBUTION,"The disbursement of the entire value of a profit-sharing plan, pension plan, annuity, or similar account to the account owner or beneficiary. Lump-sum distributions may be rolled over into another tax-deferred account."
MARGINAL TAX BRACKET,"The range of taxable income that is taxable at a certain rate. Currently, there are six marginal tax brackets: 10 percent, 15 percent, 25 percent, 28 percent, 33 percent, and 35 percent."
MARITAL DEDUCTION,A provision of the tax codes that allows all assets of a deceased spouse to pass to the surviving spouse free of estate taxes. This provision is also referred to as the unlimited marital deduction.
MONEY MARKET FUND,A mutual fund that specializes in investing in short-term securities and that tries to maintain a constant net asset value of $1.
MUNICIPAL BOND,"A debt security issued by municipalities. The income from municipal bonds is usually exempt from federal income taxes. In many states, it is also exempt from state income taxes in the state in which the municipal bond is issued."
MUNICIPAL BOND FUND,A mutual fund that specializes in investing in municipal bonds.
MUTUAL FUND,"A collection of stocks, bonds, or other securities purchased and managed by an investment company with funds from a group of investors."
NET ASSET VALUE,The price at which a mutual fund sells or redeems its shares. The net asset value is calculated by dividing the net market value of the funds assets by the number of outstanding shares.
POOLED INCOME FUND,"A trust created by a charitable organization that combines the contributions of several donors and distributes income to those donors based on the earnings of the trust. The trust is managed by the charitable organization, and contributions are partially deductible for income tax purposes."
PORTFOLIO,All the investments held by an individual or a mutual fund.
PREFERRED STOCK,"A class of stock with claim to a companys earnings, before payment can be made on the common stock, and that is usually entitled to priority over common stock if the company liquidates. Generally, preferred stocks pay dividends at a fixed rate."
PRENUPTIAL AGREEMENT,A legal agreement arranged before marriage stating who owns property acquired before marriage and during marriage and how property will be divided in the event of divorce. ERISA benefits are not affected by prenuptial agreements.
PRICE/EARNINGS RATIO (P/E RATIO),"The market price of a stock divided by the companys annual earnings per share. Because the P/E ratio is a widely regarded yardstick for investors, it often appears with stock price quotations."
PRINCIPAL,"In a security, the principal is the amount of money that is invested, excluding earnings. In a debt instrument such as a bond, it is the face amount."
PROBATE,The court-supervised process in which a decedents estate is settled and distributed.
PROFIT-SHARING PLAN,An agreement under which employees share in the profits of their employer. The company makes annual contributions to the employees accounts. These funds usually accumulate tax deferred until the employee retires or leaves the company.
PROSPECTUS,"A document provided by mutual fund companies to prospective investors. The prospectus gives information needed by investors to make informed decisions prior to investing in a specific mutual fund. The prospectus includes information on the minimum investment amount, the funds objectives, past performance, risk level, sales charges, management fees, and any other expense information about the fund, as well as a description of the services provided to investors in the fund."
QUALIFIED DOMESTIC RELATIONS ORDER (QDRO),"At the time of divorce, this order would be issued by a state domestic relations court and would require that an employees ERISA retirement plan accrued benefits be divided between the employee and the spouse."
QUALIFIED RETIREMENT PLAN,"A pension, profit-sharing, or qualified savings plan that is established by an employer for the benefit of the employees. These plans must be established in conformity with IRS rules. Contributions accumulate tax deferred until withdrawn and are deductible to the employer as a current business expense."
REVOCABLE TRUST,A trust in which the creator reserves the right to modify or terminate the trust.
RISK-AVERSE,"Refers to the assumption that rational investors will choose the security with the least risk if they can maintain the same return. As the level of risk goes up, so must the expected return on the investment."
ROLLOVER,A method by which an individual can transfer the assets from one retirement program to another without the recognition of income for tax purposes. The requirements for a rollover depend on the type of program from which the distribution is made and the type of program receiving the distribution.
ROTH IRA,A nondeductible IRA that allows tax-free withdrawals when certain conditions are met. Income and contribution limits apply.
SIMPLIFIED EMPLOYEE PENSION PLAN (SEP),A type of plan under which the employer contributes to an employees IRA. Contributions may be made up to a certain limit and are immediately vested.
SINGLE-LIFE ANNUITY,"An insurance-based contract that provides future payments at regular intervals in exchange for current premiums. Generally used as a supplement to retirement income and pays over the life of one individual, usually the retiree, with no rights of payment to any survivor."
SPLIT-DOLLAR PLAN,An arrangement under which two parties (usually a corporation and employee) share the cost of a life insurance policy and split the proceeds.
SPOUSAL IRA,"An IRA designed for a spouse with no earned income. Between a spousal IRA and a regular IRA, the maximum combined contribution that a couple can make is $10,000 in 2008 ($11,000 if one spouse is age 50 or older or $12,000 if both are age 50 or older) or 100 percent of earned income, whichever is less. This total may be split between the two IRAs as the couple wishes, provided the contribution to either IRA does not exceed $5,000 ($6,000 for those aged 50 or older)."
TAX BRACKET,The range of taxable income that is taxed at a certain rate. Brackets are expressed by their marginal rate.
COMPREHENSIVE PERSONAL LIABILITY POLICY (CPL),"A personal liability contract. It provides personal liability coverage for the individual and family needs arising out of numerous personal activities and situations, such as the ownership of residential property, ownership of pets, sports activities, and many other everyday activities."
CONDITIONALLY RENEWABLE,"A contract of health insurance that provides that the insured may renew the contract to a stated date or an advanced age, subject to the right of the insurance company to decline renewal only under conditions defined in the contract."
CONSEQUENTIAL LOSS,A loss arising indirectly from an insured peril.
CONSTRUCTIVE TOTAL LOSS,A partial loss of sufficient degree to make the cost of repairing as much or more than the property is worth or is insured for.
CONTRACT CARRIER,A transportation company which carries the goods of only certain customers and not the public in general as in the case of a common carrier.
CONTRACTUAL LIABILITY,"Liability assumed under any contract or agreement. Coverage is generally limited in liability policies, but in most cases may be provided for an additional premium."
CONTRIBUTION,"The term relates to circumstances where more than one party covers the risk. Each party is deemed to be liable for his proportion of the loss. If the Assured recovers in full from one insurer, that insurer is entitled to recover from the other insurer for that part of the loss which should have been paid by the latter. The term is used in marine insurance, also, in relation to contributions paid by the Assured in connection with salvage and/or general average."
CONTRIBUTORY VALUE,The value on which a contribution to a general average loss or salvage award is calculated.
CONVERSION PRIVILEGE,"A right granted to group certificate holders, by which they may obtain an individual policy (upon leaving the group) regardless of physical condition."
CO-PAYMENT,"The portion, either a percentage or a fixed dollar amount, of a medical bill that a patient pays. The insurer pays the rest."
COUNTRY DAMAGE,"Marine term referring to damage to baled or bagged goods (e.g. cotton) caused by excessive moisture from damp ground or exposure to weather, or by grit, dust or sand forced into the insured property by windstorm or inclement weather."
COVER,(1) A contract of insurance; (2) To effect insurance; (3) To include within the coverage of a contract of insurance.
